Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q1HFZ0,NSUN2_MOUSE,Nsun2,RNA cytosine C(5)-methyltransferase NSUN2,4.67362E+07,4.76119E+07,4.27481E+07,5.24721E+07,5.90649E+07,5.40263E+07,5.10305E+07,4.92806E+07,4.82687E+07,5.044E+07,5.31923E+07,5.63045E+07,
P52623,UCK1_MOUSE,Uck1,Uridine-cytidine kinase 1,3.04274E+07,2.76322E+07,3.27016E+07,1.7737E+07,2.42095E+07,2.02892E+07,2.85638E+07,3.14239E+07,3.09319E+07,2.01364E+07,1.84515E+07,1.916E+07,
Q8BHZ0,CYRIA_MOUSE,Cyria,CYFIP-related Rac1 interactor A,1.06829E+07,7.429E+06,8.22762E+06,1.38315E+07,1.03067E+07,1.97194E+07,9.94385E+06,9.65644E+06,9.6962E+06,1.49162E+07,1.37082E+07,2.49352E+07,
Q9WVL1,AP4S1_MOUSE,Ap4s1,AP-4 complex subunit sigma-1,97379,104009,130755,98317.8,,64596.6,135423,141972,61455.5,75477.8,212904,69311.2,
Q9DBE0,CSAD_MOUSE,Csad,Cysteine sulfinic acid decarboxylase,2.81756E+07,2.57769E+07,2.55179E+07,2.6217E+07,2.59754E+07,3.1093E+07,1.85188E+07,2.60411E+07,2.7977E+07,1.97302E+07,1.81531E+07,3.36046E+07,
Q9JJA7,CCNL2_MOUSE,Ccnl2,Cyclin-L2,1.34079E+07,1.03454E+07,1.44635E+07,6.13227E+06,,1.12123E+07,1.42778E+07,1.08863E+07,1.10144E+07,1.11137E+07,1.26763E+07,9.34477E+06,
Q9JJ11,TACC3_MOUSE,Tacc3,Transforming acidic coiled-coil-containing protein 3,3.48989E+07,3.29297E+07,3.9664E+07,1.99966E+07,,1.7993E+07,3.87083E+07,3.27654E+07,2.83148E+07,2.19841E+07,2.55605E+07,1.61014E+07,
Q8K072,REEP4_MOUSE,Reep4,Receptor expression-enhancing protein 4,9.27232E+06,1.00658E+07,4.89171E+06,5.75559E+06,1.79627E+07,3.88662E+06,6.985E+06,5.4603E+06,8.35232E+06,5.17472E+06,5.89405E+06,6.13577E+06,
Q91X51,GORS1_MOUSE,Gorasp1,Golgi reassembly-stacking protein 1,6.35957E+06,8.21145E+06,1.11553E+07,7.04247E+06,,6.39826E+06,9.86112E+06,1.01154E+07,1.19557E+07,7.61583E+06,5.404E+06,1.09726E+07,
O88796,RPP30_MOUSE,Rpp30,Ribonuclease P protein subunit p30,4.08565E+07,3.74812E+07,3.99306E+07,5.23926E+07,3.82266E+07,4.44185E+07,3.70699E+07,3.58437E+07,4.08821E+07,3.964E+07,3.93916E+07,4.58272E+07,
Q61190,I10R2_MOUSE,Il10rb,Interleukin-10 receptor subunit beta,6.76251E+06,,3.47969E+06,1.08864E+07,,8.77882E+06,4.80027E+06,3.52535E+06,9.54354E+06,7.28566E+06,8.38119E+06,1.05912E+07,
P38060,HMGCL_MOUSE,Hmgcl,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",1.06232E+08,9.01803E+07,9.65732E+07,1.27001E+08,2.50958E+08,1.28042E+08,9.5822E+07,8.87329E+07,8.83729E+07,1.46629E+08,1.10352E+08,1.50828E+08,
Q5UAK0,MIER1_MOUSE,Mier1,Mesoderm induction early response protein 1,6.97582E+06,7.08858E+06,7.60839E+06,7.33743E+06,1.07644E+07,9.78945E+06,7.671E+06,9.24237E+06,7.10298E+06,8.03073E+06,8.57492E+06,8.87033E+06,
A2RSX7,TYW5_MOUSE,Tyw5,tRNA wybutosine-synthesizing protein 5,1.20539E+07,1.11496E+07,9.75038E+06,8.15695E+06,1.24708E+07,8.7177E+06,1.32402E+07,1.07691E+07,1.49211E+07,1.11228E+07,9.4611E+06,1.21927E+07,
Q3TBW2,RM10_MOUSE,Mrpl10,"39S ribosomal protein L10, mitochondrial",1.12488E+07,1.05082E+07,1.05386E+07,1.07922E+07,9.27254E+06,7.2842E+06,1.03441E+07,1.12225E+07,9.29643E+06,1.19232E+07,7.25301E+06,1.23615E+07,
Q9JJW6,ALRF2_MOUSE,Alyref2,Aly/REF export factor 2,1.49853E+07,1.52964E+07,7.14387E+06,1.32698E+07,,1.83659E+07,1.16104E+07,1.35182E+07,1.48353E+07,1.97608E+07,2.40869E+07,1.27902E+07,
P58006,SESN1_MOUSE,Sesn1,Sestrin-1,5.94292E+06,6.53474E+06,5.79007E+06,1.3651E+07,,8.27877E+06,1.03039E+07,5.62158E+06,8.90222E+06,8.87455E+06,3.88491E+06,1.20057E+07,
Q6ZQM8,UD17_MOUSE,Ugt1a7,UDP-glucuronosyltransferase 1A7,1.00711E+07,1.20495E+07,1.11844E+07,1.63346E+07,1.77997E+07,1.22318E+07,1.24935E+07,1.17949E+07,1.20169E+07,2.40241E+07,2.6259E+07,9.0011E+06,
Q9JLC3,MSRB1_MOUSE,Msrb1,Methionine-R-sulfoxide reductase B1,355608,125929,,2.26488E+06,852458,2.43673E+06,506954,315749,414653,2.02656E+06,1.98065E+06,2.7951E+06,
P62075,TIM13_MOUSE,Timm13,Mitochondrial import inner membrane translocase subunit Tim13,3.20682E+07,3.60306E+07,2.86064E+07,2.87761E+07,4.23349E+07,4.10297E+07,3.63158E+07,3.17093E+07,4.33335E+07,3.65518E+07,4.09591E+07,4.56348E+07,
B2RXR6,ANR44_MOUSE,Ankrd44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,3.5633E+07,3.7395E+07,3.27008E+07,4.1742E+07,3.3897E+07,4.54457E+07,3.75686E+07,3.19521E+07,3.06413E+07,4.30703E+07,4.36631E+07,4.2354E+07,
Q9Z1K6,ARI2_MOUSE,Arih2,E3 ubiquitin-protein ligase ARIH2,3.12338E+07,3.42467E+07,2.68469E+07,4.00278E+07,54299,4.86798E+07,3.64018E+07,2.92302E+07,3.03853E+07,4.7306E+07,3.82929E+07,3.84962E+07,
Q9ESN9,JIP3_MOUSE,Mapk8ip3,C-Jun-amino-terminal kinase-interacting protein 3,5.57411E+06,4.96135E+06,6.49101E+06,1.55571E+07,8.86965E+06,1.16404E+07,8.36176E+06,7.01668E+06,6.528E+06,1.41899E+07,1.14486E+07,1.53526E+07,
Q69ZF7,CNNM4_MOUSE,Cnnm4,Metal transporter CNNM4,1.54648E+06,1.97474E+06,2.32833E+06,1.62958E+06,,2.33465E+06,2.00552E+06,1.96181E+06,2.13671E+06,1.92913E+06,3.50438E+06,,
Q3UA37,QRIC1_MOUSE,Qrich1,Transcriptional regulator QRICH1,1.71624E+07,2.14486E+07,1.51803E+07,1.95996E+07,2.9697E+07,2.23684E+07,2.32879E+07,1.86143E+07,3.02829E+07,1.93069E+07,1.66623E+07,2.66484E+07,
Q3U6U5,GTPB6_MOUSE,Gtpbp6,Putative GTP-binding protein 6,9.08558E+06,1.18048E+07,9.8137E+06,1.99079E+07,,1.2813E+07,1.19707E+07,1.22456E+07,1.13791E+07,1.46348E+07,1.08676E+07,1.36694E+07,
P70351,EZH1_MOUSE,Ezh1,Histone-lysine N-methyltransferase EZH1,7.78326E+06,1.07227E+07,1.13196E+07,7.15665E+06,9.44291E+06,8.89772E+06,1.05883E+07,1.37721E+07,1.2466E+07,1.32714E+07,5.0768E+06,1.38402E+07,
P62077,TIM8B_MOUSE,Timm8b,Mitochondrial import inner membrane translocase subunit Tim8 B,1.58525E+07,2.19601E+07,3.12661E+07,1.8139E+07,1.36209E+07,1.50979E+07,1.68596E+07,2.37233E+07,2.02446E+07,2.08162E+07,2.39423E+07,1.12377E+07,
O35955,PSB10_MOUSE,Psmb10,Proteasome subunit beta type-10,5.98553E+07,6.23942E+07,5.968E+07,5.50361E+07,,6.7083E+07,6.75741E+07,6.0936E+07,6.2815E+07,6.36751E+07,7.45102E+07,6.20647E+07,
Q9Z0Y1,DCTN3_MOUSE,Dctn3,Dynactin subunit 3,1.16892E+07,9.77948E+06,9.61709E+06,7.76947E+06,3.22711E+07,9.19909E+06,1.09058E+07,1.1038E+07,9.5859E+06,1.05659E+07,9.60347E+06,1.04711E+07,
Q9QXG4,ACSA_MOUSE,Acss2,"Acetyl-coenzyme A synthetase, cytoplasmic",1.24612E+07,1.41022E+07,1.42987E+07,1.79917E+07,2.13079E+07,1.93063E+07,1.42244E+07,1.38744E+07,1.15295E+07,2.45721E+07,1.61477E+07,2.46067E+07,
Q8R143,PTTG_MOUSE,Pttg1ip,Pituitary tumor-transforming gene 1 protein-interacting protein,5.92407E+06,6.08585E+06,4.78183E+06,1.10531E+07,9.64352E+06,4.25901E+06,4.81777E+06,7.24242E+06,5.6679E+06,8.12438E+06,5.86673E+06,6.01371E+06,
Q8K0D5,EFGM_MOUSE,Gfm1,"Elongation factor G, mitochondrial",2.04081E+07,1.74083E+07,1.95489E+07,1.84811E+07,2.68893E+07,1.74009E+07,1.68425E+07,2.0108E+07,1.68848E+07,1.76778E+07,2.1516E+07,1.61222E+07,
Q9D2Z4,SENP8_MOUSE,Senp8,Sentrin-specific protease 8,3.13739E+07,3.06352E+07,2.68E+07,2.86831E+07,,3.46695E+07,2.80669E+07,2.23201E+07,2.94269E+07,5.06965E+07,4.02226E+07,2.33049E+07,
Q9D081,ALG14_MOUSE,Alg14,UDP-N-acetylglucosamine transferase subunit ALG14 homolog,4.10871E+06,3.69504E+06,4.10432E+06,4.48825E+06,,3.94186E+06,3.18678E+06,3.64023E+06,4.17353E+06,1.0324E+06,2.92365E+06,5.58424E+06,
Q80XL7,MPPE1_MOUSE,Mppe1,Metallophosphoesterase 1,5.5295E+06,6.7955E+06,5.30864E+06,4.33805E+06,4.41892E+06,3.06527E+06,5.53436E+06,3.7515E+06,5.28574E+06,6.44492E+06,4.55666E+06,3.1467E+06,
Q9JMG7,HDGR3_MOUSE,Hdgfl3,Hepatoma-derived growth factor-related protein 3,2.8261E+06,3.5348E+06,3.81103E+06,3.82391E+06,2.24298E+06,3.22078E+06,1.79463E+06,3.03536E+06,2.43523E+06,1.59545E+06,2.97934E+06,3.24762E+06,
Q5RL79,KTAP2_MOUSE,Krtcap2,Keratinocyte-associated protein 2,269246,289946,288894,317932,,206576,217372,239506,269584,242839,120637,260525,
Q7TNP2,2AAB_MOUSE,Ppp2r1b,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,7.60668E+06,9.58978E+06,8.95405E+06,7.12586E+06,8.15234E+06,9.69674E+06,9.9316E+06,7.37236E+06,7.3663E+06,7.30988E+06,8.98414E+06,6.43561E+06,
Q9D892,ITPA_MOUSE,Itpa,Inosine triphosphate pyrophosphatase,1.32523E+07,1.30834E+07,1.13735E+07,1.22544E+07,1.60967E+07,1.33966E+07,1.35379E+07,1.19911E+07,1.30396E+07,1.3686E+07,1.42819E+07,1.70531E+07,
Q8R5J9,PRAF3_MOUSE,Arl6ip5,PRA1 family protein 3,267812,248099,217396,278477,,261319,317453,285851,290183,280840,257957,307427,
Q64700,RBL2_MOUSE,Rbl2,Retinoblastoma-like protein 2,1.05828E+07,1.01131E+07,1.11742E+07,2.10329E+07,1.45159E+07,1.03561E+07,9.19243E+06,9.64359E+06,8.81933E+06,2.15965E+07,1.50499E+07,1.71467E+07,
Q9ER71,RHOJ_MOUSE,Rhoj,Rho-related GTP-binding protein RhoJ,881444,728875,1.10584E+06,1.7105E+06,,1.78642E+06,938789,1.12304E+06,699315,1.69314E+06,453969,1.99885E+06,
Q9DBJ1,PGAM1_MOUSE,Pgam1,Phosphoglycerate mutase 1,2.61168E+07,2.96984E+07,3.45568E+07,3.85943E+07,1.1329E+07,3.43312E+07,3.63099E+07,3.05581E+07,2.64831E+07,3.34235E+07,4.23605E+07,2.90091E+07,
Q8CCM6,TIM21_MOUSE,Timm21,Mitochondrial import inner membrane translocase subunit Tim21,1.62369E+07,1.48489E+07,1.51652E+07,2.27786E+07,2.02402E+07,1.61927E+07,1.86585E+07,1.4029E+07,1.45067E+07,2.26135E+07,1.96745E+07,2.15576E+07,
Q3UB74,TBRG1_MOUSE,Tbrg1,Transforming growth factor beta regulator 1,4.79494E+06,6.35467E+06,4.44675E+06,2.93449E+06,,3.34356E+06,5.74443E+06,4.2933E+06,4.16769E+06,1.85386E+06,3.1492E+06,3.30005E+06,
Q8CAY6,THIC_MOUSE,Acat2,"Acetyl-CoA acetyltransferase, cytosolic",2.35237E+07,2.44485E+07,3.12977E+07,3.08808E+07,6.18488E+07,2.31072E+07,1.96112E+07,3.18625E+07,3.05805E+07,3.12568E+07,2.30439E+07,3.37283E+07,
Q8BGE6,ATG4B_MOUSE,Atg4b,Cysteine protease ATG4B,1.36745E+07,1.11534E+07,1.11259E+07,1.13904E+07,8.988E+06,8.41933E+06,1.57607E+07,1.18524E+07,9.59736E+06,1.18789E+07,9.60223E+06,9.79045E+06,
P57780,ACTN4_MOUSE,Actn4,Alpha-actinin-4,5.46312E+07,5.39618E+07,5.14139E+07,5.45007E+07,7.08542E+07,6.2375E+07,5.71985E+07,5.43121E+07,5.53403E+07,5.57674E+07,5.70363E+07,6.34039E+07,
Q9CWQ0,DPH5_MOUSE,Dph5,Diphthine methyl ester synthase,1.86422E+07,1.88992E+07,1.55445E+07,1.63E+07,1.5182E+07,1.88297E+07,1.768E+07,1.92547E+07,1.70273E+07,1.51828E+07,2.19515E+07,1.80296E+07,
Q3T9E4;Q62293,TGTP1_MOUSE;TGTP2_MOUSE,Tgtp1;Tgtp2,T-cell-specific guanine nucleotide triphosphate-binding protein 2,2.29596E+07,2.23804E+07,2.69416E+07,1.78376E+07,2.70216E+07,8.79611E+06,2.47001E+07,2.78843E+07,2.37889E+07,1.5915E+07,1.44632E+07,1.09341E+07,
Q91VL9,ZBTB1_MOUSE,Zbtb1,Zinc finger and BTB domain-containing protein 1,1.36867E+07,2.03331E+07,2.01364E+07,1.0295E+07,,1.32523E+07,1.44844E+07,1.75218E+07,1.68453E+07,9.39658E+06,1.92384E+07,1.37264E+07,
Q01237,HMDH_MOUSE,Hmgcr,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1.45556E+07,1.35088E+07,1.17071E+07,4.97499E+06,5.44974E+06,,1.38756E+07,1.38443E+07,1.40061E+07,5.30944E+06,,2.5335E+06,
Q6DFV1,CNDG2_MOUSE,Ncapg2,Condensin-2 complex subunit G2,1.6564E+07,1.54949E+07,1.63047E+07,1.09841E+07,1.18599E+07,1.55019E+07,1.56124E+07,1.52737E+07,1.62413E+07,1.18729E+07,1.43966E+07,1.592E+07,
Q8BGZ4,CDC23_MOUSE,Cdc23,Cell division cycle protein 23 homolog,2.81513E+07,2.57401E+07,2.25856E+07,2.19021E+07,1.80453E+07,2.18699E+07,2.59787E+07,2.26161E+07,2.18582E+07,2.00584E+07,2.34415E+07,2.1734E+07,
O08808,DIAP1_MOUSE,Diaph1,Protein diaphanous homolog 1,2.36125E+07,2.57412E+07,2.18502E+07,2.42725E+07,2.654E+07,2.39399E+07,2.55613E+07,2.21519E+07,2.56974E+07,2.52159E+07,2.62142E+07,2.52671E+07,
P46414,CDN1B_MOUSE,Cdkn1b,Cyclin-dependent kinase inhibitor 1B,4.51695E+06,2.34704E+06,4.80645E+06,1.69054E+07,,9.48792E+06,4.0448E+06,3.15268E+06,2.6238E+06,9.32719E+06,8.91987E+06,1.10217E+07,
Q91VJ1,AIM2_MOUSE,Aim2,Interferon-inducible protein AIM2,1.16785E+07,7.84761E+06,1.08822E+07,1.35801E+07,,1.13145E+07,1.55628E+07,1.30504E+07,1.60418E+07,1.40811E+07,1.23002E+07,1.40765E+07,
P38585,TTL_MOUSE,Ttl,Tubulin--tyrosine ligase,8.22631E+06,5.71973E+06,5.49994E+06,3.99551E+06,,3.52877E+06,6.6284E+06,3.94391E+06,6.40975E+06,3.92349E+06,3.3665E+06,5.54174E+06,
Q99KU0,VMP1_MOUSE,Vmp1,Vacuole membrane protein 1,9.34026E+06,6.71676E+06,7.56774E+06,7.35956E+06,8.35896E+06,4.21117E+06,9.17596E+06,4.33354E+06,4.19082E+06,7.91026E+06,6.47487E+06,8.58301E+06,
E9Q137,TX264_MOUSE,Tex264,Testis-expressed protein 264 homolog,4.57698E+06,4.18666E+06,4.87099E+06,3.67492E+06,5.7539E+06,3.14466E+06,3.87154E+06,5.31383E+06,4.2524E+06,3.63209E+06,2.7808E+06,4.21229E+06,
Q8BTG3,T11L1_MOUSE,Tcp11l1,T-complex protein 11-like protein 1,1.71448E+07,1.65316E+07,1.56754E+07,2.02047E+07,5.25089E+06,1.3964E+07,1.6394E+07,1.55969E+07,1.59843E+07,2.24272E+07,1.69032E+07,1.14768E+07,
Q9D4V7,RABL3_MOUSE,Rabl3,Rab-like protein 3,172843,,187327,231529,,189394,194601,170662,137760,167326,212295,193198,
Q8BL48,UNK_MOUSE,Unk,RING finger protein unkempt homolog,1.15404E+07,1.37676E+07,1.30832E+07,1.22761E+07,1.76976E+07,1.34734E+07,1.37463E+07,1.34982E+07,1.32668E+07,1.13432E+07,1.48286E+07,1.31429E+07,
Q6S5J6,KRIT1_MOUSE,Krit1,Krev interaction trapped protein 1,1.30161E+07,1.41824E+07,1.54318E+07,1.06853E+07,1.4167E+07,1.2741E+07,1.34429E+07,1.22699E+07,1.17421E+07,1.44012E+07,1.23757E+07,1.33287E+07,
D3YZP9,CCDC6_MOUSE,Ccdc6,Coiled-coil domain-containing protein 6,5.24009E+07,4.27696E+07,5.49327E+07,5.03352E+07,6.03363E+07,4.82915E+07,4.97888E+07,4.63338E+07,5.10156E+07,4.35253E+07,5.48646E+07,5.01174E+07,
Q9CXK9,RBM33_MOUSE,Rbm33,RNA-binding protein 33,1.47443E+07,1.64084E+07,1.27695E+07,1.71298E+07,1.44968E+07,1.85026E+07,1.46575E+07,1.35197E+07,1.51155E+07,1.88491E+07,8.26285E+06,1.56041E+07,
Q80UJ7,RB3GP_MOUSE,Rab3gap1,Rab3 GTPase-activating protein catalytic subunit,1.80407E+07,1.941E+07,2.25311E+07,1.54896E+07,1.62133E+07,1.66057E+07,2.18746E+07,1.90478E+07,2.0629E+07,1.74329E+07,1.4552E+07,1.36618E+07,
Q9R112,SQOR_MOUSE,Sqor,"Sulfide:quinone oxidoreductase, mitochondrial",1.81935E+07,1.93636E+07,1.96117E+07,2.68432E+07,3.41991E+07,2.62444E+07,2.05442E+07,2.07139E+07,2.02854E+07,2.98379E+07,1.37743E+07,3.04923E+07,
Q9D361,SNR48_MOUSE,Snrnp48,U11/U12 small nuclear ribonucleoprotein 48 kDa protein,2.1206E+07,2.43971E+07,2.3088E+07,2.72288E+07,1.13323E+07,1.38203E+07,1.79971E+07,2.07715E+07,1.57981E+07,2.07157E+07,2.02305E+07,2.28721E+07,
Q499X9,SYMM_MOUSE,Mars2,"Methionine--tRNA ligase, mitochondrial",3.21004E+07,3.28623E+07,3.02629E+07,4.2074E+07,40273.7,4.13306E+07,3.37072E+07,3.09028E+07,3.18233E+07,3.60804E+07,3.69516E+07,4.25606E+07,
Q9D8Z6,ATGA1_MOUSE,Atg101,Autophagy-related protein 101,2.04815E+06,1.98226E+06,2.75044E+06,1.26214E+06,,1.21689E+06,2.32275E+06,1.90778E+06,1.76027E+06,1.5378E+06,1.01097E+06,1.60324E+06,
Q9ER72,SYCC_MOUSE,Cars1,"Cysteine--tRNA ligase, cytoplasmic",7.25107E+07,7.42908E+07,6.6115E+07,6.2813E+07,7.53091E+07,5.30679E+07,7.62436E+07,6.8126E+07,6.67971E+07,5.5944E+07,6.4634E+07,5.50784E+07,
Q8BHA3,DTD2_MOUSE,Dtd2,D-aminoacyl-tRNA deacylase 2,8.03258E+06,8.26461E+06,8.84522E+06,7.60946E+06,6.43262E+06,7.77017E+06,7.73227E+06,5.97484E+06,7.24674E+06,6.23814E+06,8.27081E+06,9.68644E+06,
Q8R2N2,UTP4_MOUSE,Utp4,U3 small nucleolar RNA-associated protein 4 homolog,1.55243E+07,1.90853E+07,1.89469E+07,1.57101E+07,1.76436E+07,1.59335E+07,1.98956E+07,2.05785E+07,2.33536E+07,1.59615E+07,1.82956E+07,1.6943E+07,
Q6PIP5,NUDC1_MOUSE,Nudcd1,NudC domain-containing protein 1,3.28317E+07,3.69243E+07,3.49477E+07,3.14821E+07,3.01576E+07,3.21428E+07,4.05515E+07,3.5925E+07,3.60262E+07,3.65926E+07,2.92356E+07,3.28999E+07,
Q9D7X3,DUS3_MOUSE,Dusp3,Dual specificity protein phosphatase 3,6.25568E+06,7.59228E+06,8.4057E+06,7.16282E+06,,7.88853E+06,8.84194E+06,8.9295E+06,1.1027E+07,9.94667E+06,5.32718E+06,1.16937E+07,
O08789,MNT_MOUSE,Mnt,Max-binding protein MNT,3.50826E+06,3.84694E+06,2.7738E+06,2.5292E+06,,4.41383E+06,3.34119E+06,3.17653E+06,4.0843E+06,2.62858E+06,2.04578E+06,3.16592E+06,
E9PVA8,GCN1_MOUSE,Gcn1,eIF-2-alpha kinase activator GCN1,7.861E+07,8.07022E+07,7.83062E+07,5.6907E+07,8.68374E+07,5.92329E+07,8.62494E+07,7.85229E+07,7.46607E+07,8.04206E+07,7.36484E+07,7.12913E+07,
Q3TPX4,EXOC5_MOUSE,Exoc5,Exocyst complex component 5,3.76617E+07,4.99058E+07,4.09575E+07,3.99022E+07,5.11333E+07,4.94337E+07,4.33937E+07,4.18033E+07,5.13654E+07,4.54963E+07,4.39133E+07,4.29748E+07,
Q3TC72,FAHD2_MOUSE,Fahd2,Fumarylacetoacetate hydrolase domain-containing protein 2A,3.52598E+07,3.95259E+07,3.81894E+07,4.61429E+07,6.60443E+07,5.58965E+07,4.42662E+07,4.59667E+07,4.08605E+07,5.83118E+07,5.11694E+07,4.3491E+07,
P10639,THIO_MOUSE,Txn,Thioredoxin,3.11503E+08,3.15899E+08,3.28991E+08,3.72079E+08,6.47274E+08,3.58953E+08,3.27078E+08,2.91692E+08,2.40853E+08,3.20485E+08,4.4207E+08,3.94283E+08,
Q3USH5,SFSWA_MOUSE,Sfswap,"Splicing factor, suppressor of white-apricot homolog",6.06098E+06,5.98722E+06,6.01805E+06,6.57213E+06,8.7998E+06,5.77447E+06,6.39145E+06,6.6983E+06,5.88694E+06,6.12191E+06,6.05065E+06,6.86687E+06,
Q9JJK5,HERP1_MOUSE,Herpud1,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,2.77702E+06,4.53583E+06,4.07651E+06,2.39368E+06,2.93206E+06,934640,2.69076E+06,4.00671E+06,4.23444E+06,2.23411E+06,,2.93938E+06,
Q9CZW2,CENPN_MOUSE,Cenpn,Centromere protein N,2.17743E+06,1.95496E+06,2.8794E+06,1.28957E+06,3.61112E+06,2.98307E+06,2.80862E+06,2.42029E+06,2.07108E+06,3.36992E+06,3.26998E+06,2.84829E+06,
O89001,CBPD_MOUSE,Cpd,Carboxypeptidase D,2.20243E+07,1.66127E+07,2.13019E+07,1.1188E+07,2.50857E+06,9.08911E+06,1.5799E+07,1.58286E+07,1.84895E+07,7.15206E+06,9.93282E+06,1.21069E+07,
Q6PDG8,MON1A_MOUSE,Mon1a,Vacuolar fusion protein MON1 homolog A,1.88755E+06,1.87946E+06,1.90782E+06,1.81236E+06,,1.44854E+06,1.67729E+06,2.10609E+06,1.76566E+06,1.60112E+06,,2.30937E+06,
P97315,CSRP1_MOUSE,Csrp1,Cysteine and glycine-rich protein 1,4.19856E+07,3.85961E+07,3.46543E+07,4.49072E+07,6.61563E+07,6.27417E+07,5.10506E+07,4.00034E+07,4.34456E+07,4.87804E+07,4.67181E+07,6.13553E+07,
O70546,KDM6A_MOUSE,Kdm6a,Lysine-specific demethylase 6A,1.96152E+07,3.1902E+07,2.18604E+07,2.22306E+07,2.50663E+07,1.60305E+07,2.50162E+07,2.83694E+07,2.43159E+07,1.65431E+07,2.26295E+07,1.72162E+07,
Q9CR86,CHSP1_MOUSE,Carhsp1,Calcium-regulated heat stable protein 1,1.0405E+07,1.03504E+07,1.07615E+07,9.7862E+06,1.8674E+07,9.07704E+06,7.72534E+06,1.09064E+07,1.00078E+07,1.03807E+07,9.61821E+06,1.04512E+07,
Q9ESZ8,GTF2I_MOUSE,Gtf2i,General transcription factor II-I,3.90923E+07,3.88277E+07,4.57816E+07,3.68187E+07,5.49985E+07,4.65964E+07,5.4424E+07,4.73388E+07,4.65263E+07,4.39978E+07,4.18409E+07,4.04672E+07,
Q6ZWU9,RS27_MOUSE,Rps27,40S ribosomal protein S27,1.99757E+07,2.19528E+07,2.34867E+07,1.75211E+07,2.27191E+07,1.54919E+07,2.76962E+07,3.03568E+07,1.89563E+07,2.02942E+07,1.10647E+07,1.71181E+07,
Q6P6M7,SPCS_MOUSE,Sepsecs,O-phosphoseryl-tRNA(Sec) selenium transferase,3.7535E+07,4.42679E+07,3.72415E+07,2.70217E+07,,3.31741E+07,4.02573E+07,3.87679E+07,4.81711E+07,3.04944E+07,2.85558E+07,4.30537E+07,
Q3U0K8,OGFD1_MOUSE,Ogfod1,Prolyl 3-hydroxylase OGFOD1,1.05842E+07,8.93239E+06,8.23811E+06,8.41786E+06,8.24771E+06,8.91534E+06,1.06437E+07,7.37277E+06,8.1466E+06,8.9599E+06,1.23849E+07,7.53818E+06,
Q8C2P3,DUS1L_MOUSE,Dus1l,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,919863,684493,757058,404106,360789,400710,869992,846261,740397,341159,260695,442202,
Q61133,GSTT2_MOUSE,Gstt2,Glutathione S-transferase theta-2,4.08437E+06,4.82159E+06,5.56071E+06,3.82615E+06,5.319E+06,1.19519E+07,1.02989E+07,5.68575E+06,6.6588E+06,7.65982E+06,5.50454E+06,1.71026E+07,
Q8JZY4,MRPP3_MOUSE,Prorp,Mitochondrial ribonuclease P catalytic subunit,4.3869E+07,4.09428E+07,3.97786E+07,6.16994E+07,4.30727E+07,4.43606E+07,4.79259E+07,4.61248E+07,3.78618E+07,5.85733E+07,5.11113E+07,5.35266E+07,
Q9Z0K8,VNN1_MOUSE,Vnn1,Pantetheinase,8.72939E+06,1.12971E+07,538086,2.17176E+07,,4.33205E+07,2.18404E+07,404199,1.85011E+07,1.56824E+07,2.87874E+07,2.37449E+07,
Q6P9N1,HYCCI_MOUSE,Hycc1,Hyccin,4.33764E+07,4.13987E+07,4.69665E+07,4.45596E+07,5.75077E+07,4.68302E+07,4.17039E+07,5.0682E+07,4.47301E+07,4.15348E+07,3.59505E+07,5.61432E+07,
Q8C5W3,TBCEL_MOUSE,Tbcel,Tubulin-specific chaperone cofactor E-like protein,1.76001E+07,1.71666E+07,1.56716E+07,2.9741E+07,2.62051E+07,2.71081E+07,1.86168E+07,1.55786E+07,1.84055E+07,2.9065E+07,2.2455E+07,2.68022E+07,
Q91X20,ASH2L_MOUSE,Ash2l,Set1/Ash2 histone methyltransferase complex subunit ASH2,5.45094E+07,5.29553E+07,5.15211E+07,5.94212E+07,5.82033E+07,5.21382E+07,5.5318E+07,6.31072E+07,4.91775E+07,5.99084E+07,4.39816E+07,5.46442E+07,
P39098,MA1A2_MOUSE,Man1a2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1.75688E+07,2.22765E+07,2.41748E+07,1.46466E+07,1.36974E+07,1.19085E+07,2.09506E+07,1.5563E+07,1.40173E+07,1.61067E+07,1.34768E+07,1.32191E+07,
Q3V384,AFG1L_MOUSE,Afg1l,AFG1-like ATPase,5.027E+07,4.0562E+07,4.13712E+07,6.28043E+07,4.88402E+07,3.88671E+07,3.6787E+07,4.13083E+07,3.14257E+07,6.47327E+07,6.60785E+07,4.16545E+07,
